Topik / Pertanyaan,Jawaban / Informasi SOP
Nama Klinik,Klinik Nafila Medika
Alamat Klinik,"Alamat lengkap Klinik Nafila Medika adalah di Jl. Pringgondani, Blok J No. 47, Perumnas Bumi Teluk Jambe, Sukaluyu, Telukjambe Timur, Karawang, Jawa Barat 41361."
"Bila ada pesan masuk yang mengarah ke nomer klinik,",maka jangan memberikan nomer klinik lagi. sebagai informasi lebih lanjut. bilang saja saya kordinasikan ke admin nafila agar pesan di teruskan ke petugas admin nafila
"Bila Ada pasien Ingin daftar, maka kirimkan Formulir berikut","Formulir pendaftaran Untuk didaftarkan offline
Nama Pasien :
Tanggal Lahir :
Nomer NIK:
Jaminan :
Nomer Whatsup :
Konfirmasi Kedatangan Jam :
Poli Tujuan:

catatan Bila menggunakan BPJS, antrian menggunakan JKN mobile

Tolong krimkan hasil Formulir ke petugas pendaftaran dan lider diteruskan oleh Jarvis, data ada di sheet petugas tolong krimkan ke sana ya

"
"Bila menanyakan Tarif dan  Harga , misal, obat, LAB, Kamar, biaya dokter, biaya persalinan, biaya USG, biaya apupun dalam bentuk pelayanan","Tolong di arahkan untuk Telpon  atau periksa langsung menanyyakan pada petugas saat offline, karena swwaktu waktu harga dapat berubah"
Semua Layaan Spesialis Tidak bisa menggunakan BPJS,"Fisioterapi juga Tidak bisa Menggunakan BPJS, Bila terkait layanan apa saja yang bisa di layani BPJS, maka dia arahhkan Telpon langsung ke klinik atau, menanakan saat datang Offline ke klinik nafila medika"
Jika pasein bertanya dan tidak ada rule dari SOP yang tersedia,"Jawab baik kami sambungkan ke admin, lalu Jarvis beri tahu ke bagian petugas Lider, Nomer Whatsup nya ada di Sheet Petugas tolong di japri "
Instagram,https://www.instagram.com/nafilamedika
Jam Buka Klinik,setiap hari 24 jam
Dokter yang Praktek,"dr. Dylan Senin samapi Rabu jam 8:30 sampai jam 12:00, untuk sore dengan perjanjian dari jam 19:00- jam 21:00"
Layanan Tersedia,"Rawat jalan, Rawat Inap, Cek Darah Lengkap, Cek Urin, Cek Urin Narkoba, USG Kehamilan, USG Ginjal, USG Liver, USG Prostat, Rekam Jantung, Treadmill Test Jantung dan paru,Senam Hamil, Senam Lansia, Program PROLANIS BPJS, Khitan,  "
Menerima BPJS?,Ya 
Cara Daftar Konsul Online,"Pasien akan diminta nama, keluhan, dan foto KTP. Lalu dijadwalkan sesi Google Meet."
Jam Konsultasi Online,Setiap hari jam 09.00 - 17.00 WIB. Durasi 1 jam per sesi. untuk bpjs jam 19.00 sd 21.00 wib via jkn mobile
Klinik nafila medika buka ,24 jam
jadwal poli umum buka ,24jam
jadwal poli spesialis anak,selasa sd sabtu jam 08.00 wib -10.00 wib
